PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, MCD1
Station name, Mac_Dill_1      
Begin Date, 2001-05-01
End Date, 2007-02-28
Release Date, 2015-06-04
Source file, MCD1.pbo.nam08.pos
Offset from source file, -2.84 mm North, 4.97 mm East, -3.07 mm Vertical
Reference position, 27.8498217138 North Latitude, -82.5323203364 East Longitude, -15.86985 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2001-09-12,-0.46, -1.20, -5.96, 1.88, 2.03, 7.71, repro,
2001-09-13,-0.09, -0.01, -0.56, 1.6, 1.94, 6.7, repro,
2001-09-14,-4.40, 3.94, 4.23, 1.99, 2.06, 8.58, repro,
2001-09-15,-4.77, 4.71, 12.00, 2.19, 2.27, 9.76, repro,
2001-09-16,-5.10, 6.06, -3.78, 1.71, 1.81, 7.19, repro,
2001-09-17,-4.76, 4.01, 7.11, 1.32, 1.39, 5.59, repro,
2001-09-18,-6.19, 6.19, -0.61, 1.93, 2.06, 8.51, repro,
2001-09-19,-4.46, 3.55, 1.56, 1.61, 1.77, 6.94, repro,
2001-09-20,-4.60, 3.71, -5.00, 1.84, 2.11, 8.05, repro,
2001-09-21,-4.05, 2.52, -10.85, 1.9, 2.04, 8.2, repro,
2001-09-22,-6.06, 4.49, -12.37, 1.91, 2.01, 8.39, repro,
2001-09-23,-1.00, 0.32, -14.81, 2.01, 2.11, 8.7, repro,
2001-09-24,-2.10, 0.26, 2.32, 1.83, 1.92, 7.98, repro,
2001-09-25,-2.77, 2.11, -0.89, 2.08, 2.35, 8.94, repro,
2001-09-26,-2.22, 1.64, -4.00, 1.72, 2.1, 6.83, repro,
2001-09-27,-1.56, 0.76, 2.43, 2.17, 2.49, 8.9, repro,
2001-09-28,-4.36, 2.98, -0.91, 1.61, 1.71, 6.79, repro,
2001-09-29,-1.40, 1.77, 2.43, 2.42, 2.75, 10.07, repro,
2001-09-30,-2.89, 2.64, 12.42, 3.03, 4.43, 11.85, repro,
2001-10-01,-1.77, -1.61, -6.64, 2.5, 3.22, 9.48, repro,
2001-10-02,-3.97, -0.09, 8.95, 1.93, 2.4, 7.72, repro,
2001-10-03,-3.21, 2.79, 4.70, 1.7, 2.03, 6.93, repro,
2001-10-04,-3.40, 2.68, -1.36, 2.6, 3.41, 10.44, repro,
2001-10-05,-2.08, 1.85, 3.22, 2.89, 3.65, 11.98, repro,
2001-10-06,-3.31, 3.69, -2.36, 1.93, 2.05, 8.56, repro,
2001-10-07,-3.31, 3.23, -9.90, 2.13, 2.34, 9.49, repro,
2001-10-08,-2.90, 0.76, -4.57, 1.98, 2.33, 8.15, repro,
2001-10-09,-3.45, 0.56, 1.71, 1.94, 2.37, 8.34, repro,
2001-10-10,-1.16, -0.37, -9.10, 1.86, 1.99, 8.34, repro,
2001-10-11,0.42, 0.99, -3.63, 1.48, 1.58, 6.38, repro,
2001-10-12,-3.08, -0.79, -6.77, 1.83, 2.13, 7.96, repro,
2001-10-13,-0.77, 1.23, -8.36, 1.5, 1.54, 6.47, repro,
2001-10-14,-0.87, 2.77, 4.81, 1.61, 1.67, 7.11, repro,
2001-10-15,-1.13, 0.15, -4.00, 2.11, 2.27, 9.38, repro,
2001-10-16,-2.44, 1.82, -3.77, 2.03, 2.2, 9.04, repro,
2001-10-17,-1.65, 1.96, -11.48, 1.99, 2.09, 8.34, repro,
2001-10-18,-2.35, 0.14, -14.74, 1.77, 1.98, 7.47, repro,
2001-10-19,-1.54, 1.63, -3.90, 1.84, 1.96, 7.8, repro,
2001-10-20,-1.88, 2.10, -4.09, 1.73, 1.92, 7.48, repro,
2001-10-21,-3.88, -0.05, -6.06, 1.95, 2.11, 8.58, repro,
2001-10-22,-2.65, 0.97, -7.98, 1.78, 1.95, 7.63, repro,
2001-10-23,-2.54, 1.68, -3.18, 1.78, 1.94, 7.61, repro,
2001-10-24,-1.03, 3.15, -5.13, 1.76, 1.84, 7.69, repro,
2001-10-25,-1.07, 1.70, -10.57, 2.36, 2.49, 10.46, repro,
2001-10-26,-3.11, 0.32, -23.05, 2.25, 2.36, 10.15, repro,
2001-10-27,-3.93, 2.36, -3.59, 1.7, 1.93, 6.98, repro,
2001-10-28,-4.13, 2.11, -9.06, 1.65, 1.72, 6.91, repro,
2001-10-29,-4.38, 1.90, -12.70, 1.62, 1.7, 6.68, repro,
2001-10-30,-3.36, 1.46, -15.24, 1.8, 1.93, 7.68, repro,
2001-10-31,-3.19, 0.92, -15.47, 1.77, 1.85, 7.39, repro,
2001-11-01,0.14, -1.75, 5.43, 1.69, 2.14, 7.24, repro,
2001-11-02,8.77, 0.85, -4.14, 7.18, 15.77, 31.19, repro,
2001-11-03,-3.72, 0.90, -18.71, 2.28, 2.35, 9.96, repro,
2001-11-04,-2.32, 1.04, -11.46, 1.96, 2.05, 8.59, repro,
2001-11-05,-7.30, 2.98, -4.31, 2.05, 2.3, 8.87, repro,
2001-11-06,-4.77, 2.27, -8.71, 1.79, 2.48, 7.46, repro,
2001-11-07,-2.94, 1.90, -7.06, 1.45, 1.58, 6.2, repro,
2001-11-08,-1.61, 1.79, -10.57, 1.55, 1.76, 6.57, repro,
2001-11-09,-1.29, 3.11, -8.32, 1.68, 1.83, 7.14, repro,
2001-11-10,-3.16, 0.36, -6.72, 1.69, 1.91, 7.36, repro,
2001-11-11,-3.14, 0.90, -11.25, 1.54, 1.74, 6.69, repro,
2001-11-12,-4.21, 0.33, -12.75, 1.56, 1.66, 6.75, repro,
2001-11-13,-5.39, 2.15, -14.45, 1.95, 2.08, 8.15, repro,
2001-11-14,-3.77, 2.01, 1.18, 1.41, 1.56, 5.87, repro,
2001-11-15,-6.62, 3.06, -8.22, 1.6, 1.74, 6.68, repro,
2001-11-16,-6.50, 3.55, -1.14, 1.71, 1.98, 7.37, repro,
2001-11-17,-5.16, 1.97, -4.51, 1.58, 1.68, 6.83, repro,
2001-11-18,-3.89, 2.79, -17.69, 1.75, 1.87, 7.58, repro,
2001-11-19,-5.88, 2.43, -5.91, 1.85, 1.95, 7.87, repro,
2001-11-20,-5.27, 0.75, -12.42, 1.79, 1.91, 7.79, repro,
2001-11-21,-2.42, 1.59, -8.44, 1.64, 1.72, 7.28, repro,
2001-11-22,-3.83, 1.84, -2.02, 1.67, 1.78, 7.11, repro,
2001-11-23,-1.42, -0.52, -2.56, 1.78, 1.81, 7.43, repro,
2001-11-24,-0.31, -0.30, 4.59, 1.78, 1.99, 7.47, repro,
2001-11-25,-2.02, -0.56, 0.79, 2.15, 2.28, 8.92, repro,
2001-11-26,-1.63, -1.29, -6.85, 1.77, 2.12, 7.09, repro,
2001-11-27,-1.85, -1.16, -11.30, 1.73, 1.8, 7.21, repro,
2001-11-28,-3.21, -1.15, -11.62, 1.62, 1.77, 6.93, repro,
2001-11-29,-1.14, -1.97, -3.34, 1.58, 1.73, 6.9, repro,
2001-11-30,-2.11, -0.48, 1.63, 1.59, 1.67, 6.69, repro,
2001-12-01,-2.68, -0.31, -7.53, 1.66, 1.71, 7.2, repro,
2001-12-02,-1.88, -0.25, 1.67, 1.6, 1.7, 6.92, repro,
2001-12-03,-2.79, -1.26, -0.34, 1.62, 1.71, 6.88, repro,
2001-12-04,-3.18, -0.03, -9.16, 1.68, 1.81, 7.11, repro,
2001-12-05,-3.15, -1.63, -1.58, 1.79, 1.91, 7.42, repro,
2001-12-06,-2.05, -0.35, -5.52, 1.62, 1.74, 6.83, repro,
2001-12-07,-3.82, 0.33, -5.69, 1.75, 1.77, 7.47, repro,
2001-12-08,-0.37, -0.44, -5.26, 2.05, 2.18, 8.85, repro,
2001-12-09,-1.17, 0.83, -1.25, 2.7, 2.84, 11.63, repro,
