PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, MCD1
Station name, Mac_Dill_1      
Begin Date, 2001-05-01
End Date, 2007-02-28
Release Date, 2015-06-04
Source file, MCD1.pbo.nam08.pos
Offset from source file, -2.84 mm North, 4.97 mm East, -3.07 mm Vertical
Reference position, 27.8498217138 North Latitude, -82.5323203364 East Longitude, -15.86985 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2003-02-28,-4.00, 3.46, -4.38, 2.04, 2.17, 8.95, repro,
2003-03-01,-1.52, 0.88, -15.63, 1.82, 1.89, 7.98, repro,
2003-03-02,-3.84, 2.86, -8.00, 1.91, 2.02, 8.35, repro,
2003-03-03,-3.54, 4.23, -3.87, 3.18, 3.79, 12.5, repro,
2003-03-04,-1.01, 3.35, -5.22, 1.94, 2.06, 8.65, repro,
2003-03-05,-1.43, 2.88, -3.23, 2.3, 2.57, 9.1, repro,
2003-03-06,-0.47, 2.88, -1.13, 1.63, 1.75, 7.1, repro,
2003-03-07,-1.16, 3.39, -6.81, 1.9, 1.98, 8.08, repro,
2003-03-08,-0.98, 3.62, 0.84, 2.05, 2.22, 9.02, repro,
2003-03-09,-0.54, 1.62, -20.29, 1.92, 2.03, 8.37, repro,
2003-03-10,-1.66, 5.80, -5.15, 1.78, 1.9, 7.75, repro,
2003-03-11,-0.64, 3.62, -3.96, 1.7, 1.83, 7.46, repro,
2003-03-12,-2.21, 4.21, -6.94, 1.7, 1.83, 7.42, repro,
2003-03-13,0.08, 3.74, -12.34, 1.85, 1.98, 8.19, repro,
2003-03-14,-1.74, 2.58, -3.45, 1.85, 1.93, 8.18, repro,
2003-03-15,-2.87, 3.14, -4.18, 1.83, 1.94, 8.08, repro,
2003-03-16,-1.47, 3.13, 0.74, 1.82, 2.02, 7.83, repro,
2003-03-17,-1.58, 4.34, 1.62, 2.12, 2.39, 9.58, repro,
2003-03-18,-1.81, 3.21, 4.99, 2.19, 2.29, 9.83, repro,
2003-03-19,0.03, 3.57, -1.51, 1.64, 1.75, 7.06, repro,
2003-03-20,-0.59, 5.08, 0.57, 1.77, 1.87, 7.87, repro,
2003-03-21,-6.38, 6.89, 9.20, 2.48, 2.6, 11.33, repro,
2003-03-22,-0.54, 4.42, -7.39, 1.86, 1.99, 8.13, repro,
2003-03-23,-1.28, 2.69, -4.92, 1.95, 2.04, 8.72, repro,
2003-03-24,-1.37, 4.19, -12.67, 1.8, 1.86, 7.89, repro,
2003-03-25,-0.35, 4.75, 1.21, 1.66, 1.74, 7.32, repro,
2003-03-26,-2.00, 3.18, -2.02, 1.74, 1.84, 7.61, repro,
2003-03-27,-0.26, 0.63, 2.84, 2.17, 2.28, 9.93, repro,
2003-03-28,-3.76, 3.32, -8.47, 1.87, 1.96, 8.15, repro,
2003-03-29,-2.64, 4.61, -9.60, 1.76, 1.86, 7.64, repro,
2003-03-30,-5.43, 7.81, -7.78, 1.97, 2.07, 8.67, repro,
2003-03-31,-5.74, 7.78, -4.41, 1.72, 1.79, 7.35, repro,
2003-04-01,-5.58, 6.11, -8.05, 1.57, 1.72, 6.94, repro,
2003-04-02,-6.14, 6.00, -7.80, 1.58, 1.7, 6.67, repro,
2003-04-03,-4.96, 4.08, -11.23, 1.67, 1.86, 7.2, repro,
2003-04-04,-5.48, 5.19, -4.68, 1.8, 1.97, 7.98, repro,
2003-04-05,-5.08, 5.74, -5.68, 1.7, 1.78, 7.44, repro,
2003-04-06,-4.79, 5.75, -6.30, 1.66, 1.74, 7.14, repro,
2003-04-07,-3.16, 5.00, -12.21, 1.69, 1.8, 7.29, repro,
2003-04-08,-2.11, 5.62, -19.88, 2.11, 2.21, 9.26, repro,
2003-04-09,-4.41, 2.89, -20.23, 3.43, 3.9, 13.88, repro,
2003-04-10,-4.54, 6.02, -4.90, 1.98, 2.06, 8.65, repro,
2003-04-11,-6.57, 7.33, -3.48, 1.59, 1.7, 6.85, repro,
2003-04-12,-6.43, 8.19, -2.67, 1.68, 1.78, 7.21, repro,
2003-04-13,-6.63, 7.32, -7.88, 1.68, 1.75, 7.24, repro,
2003-04-14,-6.27, 6.96, -0.27, 1.73, 1.87, 7.49, repro,
2003-04-15,-5.75, 7.86, -4.01, 1.65, 1.74, 7.21, repro,
2003-04-16,-5.30, 5.65, -8.61, 1.82, 1.88, 7.9, repro,
2003-04-17,-4.34, 7.41, -1.74, 1.84, 1.9, 8.06, repro,
2003-04-18,-4.79, 7.78, -0.38, 2.02, 2.25, 8.78, repro,
2003-04-19,-4.00, 5.41, -7.35, 1.65, 1.74, 7.14, repro,
2003-04-20,-3.03, 7.14, -2.16, 1.59, 1.68, 6.79, repro,
2003-04-21,-3.19, 3.88, -9.15, 1.7, 1.77, 7.33, repro,
2003-04-22,-3.17, 5.65, -2.99, 1.7, 1.79, 7.29, repro,
2003-04-23,-4.03, 5.25, -1.90, 1.75, 1.84, 7.49, repro,
2003-04-24,-4.94, 4.64, 0.44, 1.62, 1.73, 7.01, repro,
2003-04-25,-4.19, 3.92, 2.71, 1.73, 1.82, 7.52, repro,
2003-04-26,-4.60, 5.49, 2.59, 2.12, 2.23, 9.51, repro,
2003-04-27,-3.62, 4.64, -0.01, 1.67, 1.77, 7.02, repro,
2003-04-28,-0.34, 5.32, -9.00, 2.1, 2.2, 9.12, repro,
2003-04-29,-5.25, 5.02, -12.02, 1.99, 2.12, 8.78, repro,
2003-04-30,-3.09, 5.79, -16.29, 1.94, 2.07, 8.62, repro,
2003-05-01,-2.38, 7.20, 3.58, 1.81, 1.91, 8.01, repro,
2003-05-02,-3.11, 3.73, -7.06, 1.72, 1.81, 7.21, repro,
2003-05-03,-3.66, 4.74, -8.92, 1.58, 1.67, 6.84, repro,
2003-05-04,-2.37, 3.92, -0.54, 1.63, 1.83, 6.97, repro,
2003-05-05,-2.71, 3.62, -6.41, 1.84, 1.99, 7.93, repro,
2003-05-06,-2.03, 3.74, -8.23, 1.57, 1.68, 6.81, repro,
2003-05-07,-2.76, 4.27, 0.80, 1.74, 1.87, 7.68, repro,
2003-05-08,-3.06, 5.66, -13.88, 1.91, 2.01, 8.57, repro,
2003-05-09,-2.06, 3.94, -4.98, 1.61, 1.65, 6.84, repro,
2003-05-10,-3.21, 3.19, -0.05, 1.57, 1.62, 6.75, repro,
2003-05-11,-2.95, 4.79, 3.49, 1.6, 1.65, 6.8, repro,
2003-05-12,-1.19, 5.12, 3.03, 1.66, 1.81, 7.26, repro,
2003-05-13,-0.78, 5.27, 5.00, 1.75, 1.86, 7.59, repro,
2003-05-14,-4.00, 4.86, -3.83, 1.8, 1.9, 7.9, repro,
2003-05-15,-2.25, 4.97, -2.31, 1.73, 1.81, 7.4, repro,
2003-05-16,-3.83, 5.01, 0.81, 1.61, 1.72, 7.02, repro,
2003-05-17,-2.35, 4.52, -11.87, 1.91, 2.03, 8.26, repro,
2003-05-18,-3.00, 4.44, 0.10, 1.72, 1.83, 7.51, repro,
2003-05-19,-4.91, 6.92, -4.36, 3.54, 3.92, 15.62, repro,
2003-05-20,-8.40, 0.45, 8.21, 2.62, 2.81, 11.46, repro,
2003-05-21,-2.33, 4.90, -0.84, 1.63, 1.7, 6.91, repro,
2003-05-22,-3.52, 3.99, 1.45, 1.7, 1.8, 7.35, repro,
2003-05-23,-4.21, 5.56, 3.67, 1.86, 1.97, 8.08, repro,
2003-05-24,-5.83, 6.86, 5.98, 1.84, 1.92, 7.84, repro,
2003-05-25,-5.24, 5.42, 0.76, 1.84, 1.87, 7.73, repro,
2003-05-26,-3.84, 3.38, -1.81, 1.86, 1.92, 8.05, repro,
2003-05-27,-4.17, 4.91, -5.15, 1.82, 1.86, 7.68, repro,
2003-05-28,-2.59, 5.71, -6.17, 1.9, 2.02, 8.3, repro,
2003-05-29,-3.25, 2.94, 3.70, 1.77, 1.93, 7.71, repro,
2003-05-30,-1.24, 5.30, -4.34, 2.02, 2.14, 8.61, repro,
2003-05-31,-2.98, 3.42, 13.89, 1.76, 1.95, 7.62, repro,
2003-06-01,-1.58, 4.56, -2.08, 1.88, 2, 8.18, repro,
2003-06-02,-4.39, 6.09, 9.60, 1.76, 1.9, 7.7, repro,
2003-06-03,-4.96, 5.11, 1.45, 2.06, 2.2, 9.09, repro,
2003-06-04,-3.39, 4.32, 12.14, 1.83, 1.97, 8.11, repro,
2003-06-05,-2.09, 5.28, 7.97, 2.03, 2.24, 9, repro,
2003-06-06,-2.95, 2.20, -0.66, 1.87, 2.04, 8.19, repro,
2003-06-07,-3.16, 5.33, 1.72, 1.78, 1.93, 7.68, repro,
2003-06-08,-4.32, 6.57, 10.06, 1.82, 1.98, 7.78, repro,
2003-06-09,-2.81, 5.91, -3.30, 2.12, 2.3, 9.11, repro,
2003-06-10,-3.92, 4.64, 0.46, 1.96, 2.1, 8.51, repro,
2003-06-11,-4.88, 5.84, -8.98, 2.14, 2.38, 9.44, repro,
2003-06-12,-2.37, 2.72, 4.68, 2.2, 2.36, 9.53, repro,
2003-06-13,-5.31, 3.89, -19.80, 1.93, 2.08, 8.44, repro,
2003-06-14,-2.94, 4.08, -2.59, 1.86, 2, 7.99, repro,
2003-06-15,-5.64, 2.43, 0.39, 2.33, 2.5, 10.3, repro,
2003-06-16,-2.97, 2.35, 2.69, 1.96, 2.2, 8.45, repro,
2003-06-17,-1.16, 6.55, 7.21, 1.93, 2.07, 8.47, repro,
2003-06-18,-0.35, 0.56, 6.66, 2.14, 2.27, 9.31, repro,
2003-06-19,-2.40, 0.83, 0.68, 2.04, 2.16, 8.82, repro,
2003-06-20,-3.92, 2.85, 8.99, 1.85, 2, 8.13, repro,
2003-06-21,-4.04, 6.35, 0.56, 2.3, 2.48, 9.91, repro,
2003-06-22,-5.61, 6.73, 10.06, 2, 2.17, 8.9, repro,
2003-06-23,-1.03, 9.05, 16.52, 1.99, 2.21, 8.79, repro,
2003-06-24,-4.22, 4.69, 3.44, 1.77, 1.95, 7.83, repro,
2003-06-25,-2.97, 4.94, -6.27, 1.98, 2.13, 8.57, repro,
2003-06-26,-1.46, 6.41, -6.29, 1.9, 2.04, 8.41, repro,
2003-06-27,-13.53, 9.82, 14.15, 2.31, 2.48, 10.2, repro,
2003-06-28,-2.38, 4.94, -0.66, 1.54, 1.69, 6.56, repro,
2003-06-29,-3.82, 5.10, 8.99, 2.24, 2.29, 9.88, repro,
2003-06-30,-3.56, 4.22, -11.88, 1.9, 1.98, 8.43, repro,
2003-07-01,-1.34, 3.42, 4.60, 1.88, 2.12, 8.16, repro,
2003-07-02,0.42, 5.02, 0.86, 1.94, 2.09, 8.53, repro,
2003-07-03,-7.38, 5.15, -7.89, 2.41, 2.49, 10.77, repro,
2003-07-04,-1.78, 1.48, 6.31, 2.02, 2.14, 8.94, repro,
2003-07-05,-2.88, 6.44, 7.76, 1.87, 2.03, 8.3, repro,
2003-07-06,-1.76, 3.76, 2.79, 1.84, 1.96, 8.13, repro,
2003-07-07,-3.86, 5.93, 3.44, 1.97, 2.18, 8.82, repro,
2003-07-08,-2.92, 4.95, -1.24, 2.03, 2.22, 9.08, repro,
2003-07-09,-1.99, 5.20, -0.60, 1.91, 2.06, 8.4, repro,
2003-07-10,-6.57, 5.15, 5.77, 1.94, 2.13, 8.73, repro,
2003-07-11,-1.07, 4.73, -2.98, 2.42, 2.65, 10.77, repro,
2003-07-12,-1.42, 4.93, -2.82, 1.84, 2, 7.98, repro,
2003-07-13,-2.72, -1.11, 2.75, 2.08, 2.24, 9.11, repro,
2003-07-14,-1.25, 3.25, -5.70, 1.89, 2.05, 8.2, repro,
2003-07-15,-2.54, 2.80, 13.36, 2.49, 2.75, 11, repro,
2003-07-16,-2.88, 2.76, -4.00, 1.76, 1.91, 7.7, repro,
2003-07-17,-3.73, 2.82, 3.13, 2.12, 2.29, 9.57, repro,
2003-07-18,-3.59, 4.42, -9.38, 2.18, 2.33, 9.54, repro,
2003-07-19,-4.39, 5.69, 0.11, 2.07, 2.22, 9.15, repro,
2003-07-20,-0.62, 5.74, 2.22, 2.23, 2.36, 9.51, repro,
2003-07-21,-2.44, 4.72, 7.04, 1.85, 2.11, 8.12, repro,
2003-07-22,-5.08, 6.30, -0.34, 2.05, 2.21, 9.12, repro,
2003-07-23,-0.88, 5.57, -2.71, 1.66, 1.82, 7.18, repro,
2003-07-24,-1.98, 4.39, 1.87, 1.9, 2.11, 8.3, repro,
2003-07-25,-0.58, 4.06, -9.64, 1.93, 2.09, 8.54, repro,
2003-07-26,-3.86, 7.13, -9.51, 1.87, 2.06, 8.33, repro,
2003-07-27,-0.99, 4.33, -6.76, 2, 2.23, 8.86, repro,
2003-07-28,-1.51, 6.19, -6.99, 1.93, 2.2, 8.58, repro,
2003-07-29,-4.34, 4.19, 2.93, 2.15, 2.37, 9.43, repro,
2003-07-30,-2.97, 10.00, -4.53, 2, 2.11, 8.8, repro,
2003-07-31,-2.41, 3.23, -0.50, 1.8, 1.95, 7.93, repro,
2003-08-01,-2.93, 6.18, -6.11, 1.77, 1.85, 7.81, repro,
2003-08-02,-5.57, 0.91, 3.21, 1.99, 2.17, 8.76, repro,
2003-08-03,-1.99, 4.21, 3.29, 1.79, 1.91, 7.86, repro,
2003-08-04,-3.35, 4.94, 0.63, 1.96, 2.14, 8.4, repro,
2003-08-05,-2.49, 5.28, -8.85, 2.2, 2.43, 9.57, repro,
2003-08-06,-3.26, 3.33, -21.48, 2.08, 2.3, 8.97, repro,
2003-08-07,-4.80, 4.60, 0.39, 2.14, 2.35, 9.22, repro,
2003-08-08,-1.43, 2.38, -11.08, 2.15, 2.25, 9.34, repro,
2003-08-09,-3.60, 4.86, -7.33, 2.28, 2.43, 9.94, repro,
2003-08-10,-2.70, 3.71, -7.05, 2.39, 2.59, 10.67, repro,
2003-08-11,-0.87, 2.90, 2.25, 2.08, 2.19, 9.14, repro,
2003-08-12,-3.06, 4.50, -7.27, 1.71, 1.85, 7.34, repro,
2003-08-13,-0.25, 4.50, -13.51, 1.86, 2, 8.18, repro,
2003-08-14,-2.94, 3.71, -12.81, 2.06, 2.15, 9.01, repro,
2003-08-15,-2.91, 5.25, -12.76, 1.84, 1.98, 7.94, repro,
2003-08-16,-2.35, 4.22, -6.85, 2.03, 2.19, 8.56, repro,
2003-08-17,-1.69, 2.16, -10.04, 1.74, 1.86, 7.46, repro,
2003-08-18,0.40, 4.96, -7.62, 1.82, 2, 7.94, repro,
2003-08-19,-0.82, 3.66, -4.98, 1.97, 2.06, 8.5, repro,
2003-08-20,-3.16, 0.54, -2.00, 1.79, 1.9, 7.32, repro,
2003-08-21,-1.57, 3.88, -7.14, 2.02, 2.13, 8.59, repro,
2003-08-22,-2.84, 4.68, -2.53, 1.77, 1.94, 7.54, repro,
2003-08-23,-2.90, 2.84, -9.44, 1.7, 1.84, 7.26, repro,
2003-08-24,-2.44, 4.66, -14.07, 1.8, 1.94, 7.87, repro,
2003-08-25,-1.66, 6.65, 2.94, 2.06, 2.14, 8.85, repro,
2003-08-26,-2.28, 2.74, 3.73, 1.94, 2.08, 8.26, repro,
2003-08-27,-0.58, 2.83, 1.25, 2.05, 2.31, 8.79, repro,
2003-08-28,0.59, 5.51, -7.23, 1.98, 2.28, 8.56, repro,
2003-08-29,-2.12, 3.45, -5.53, 1.93, 2.09, 8.13, repro,
2003-08-30,-1.89, 4.04, -15.93, 1.8, 1.92, 7.82, repro,
2003-08-31,-0.83, 2.00, -2.70, 1.98, 2.11, 8.67, repro,
2003-09-01,-1.34, 4.24, -19.98, 2.08, 2.19, 8.94, repro,
2003-09-02,-1.29, 3.08, -8.09, 1.94, 2.05, 8.15, repro,
2003-09-03,-0.46, 3.25, -8.17, 1.9, 2, 8.28, repro,
2003-09-04,-0.61, 2.89, -5.18, 1.98, 2.17, 8.37, repro,
2003-09-05,-0.34, 3.26, -14.17, 2.01, 2.07, 8.74, repro,
2003-09-06,0.15, 5.45, 2.96, 2.07, 2.19, 9.17, repro,
2003-09-07,-1.79, 3.88, 0.59, 1.72, 1.82, 7.49, repro,
2003-09-08,-0.40, 3.21, -6.44, 1.66, 1.75, 7.17, repro,
2003-09-09,-0.84, 3.87, 1.60, 1.7, 1.81, 7.49, repro,
2003-09-10,-2.08, 5.62, -4.73, 1.72, 1.79, 7.43, repro,
2003-09-11,-1.79, 4.29, -0.82, 1.73, 1.84, 7.54, repro,
2003-09-12,-1.50, 4.76, 5.38, 1.53, 1.67, 6.81, repro,
2003-09-13,-1.51, 3.68, -8.78, 1.97, 2.11, 8.78, repro,
2003-09-14,-0.17, 5.37, -7.99, 1.89, 2.03, 8.34, repro,
2003-09-15,-0.11, 3.71, -2.03, 1.72, 1.91, 7.35, repro,
2003-09-16,-2.13, 4.61, -2.09, 1.44, 1.55, 6.3, repro,
2003-09-17,-1.56, 4.26, -6.90, 1.78, 1.9, 7.84, repro,
2003-09-18,0.21, 5.63, -2.80, 1.66, 1.78, 7.26, repro,
2003-09-19,-1.95, 3.69, -7.36, 1.34, 1.44, 5.68, repro,
2003-09-20,-0.65, 5.34, 1.23, 1.85, 1.99, 7.99, repro,
2003-09-21,-1.82, 3.53, -1.40, 1.55, 1.64, 6.68, repro,
2003-09-22,-0.93, 4.07, -0.03, 1.41, 1.52, 5.99, repro,
2003-09-23,-2.05, 4.58, 5.70, 1.93, 2.1, 8.67, repro,
2003-09-24,0.39, 6.47, -5.88, 1.79, 1.93, 7.84, repro,
2003-09-25,-3.17, 7.09, 1.06, 2.13, 2.37, 9.61, repro,
2003-09-26,-1.06, 6.54, -1.34, 1.98, 2.11, 8.83, repro,
2003-09-27,-2.93, 5.26, -17.73, 2.07, 2.2, 9.3, repro,
2003-09-28,-1.86, 5.59, 2.77, 2.03, 2.12, 8.99, repro,
2003-09-29,-2.28, 5.02, -6.21, 1.9, 2, 8.56, repro,
2003-09-30,-2.88, 3.81, -9.79, 1.79, 1.86, 7.7, repro,
2003-10-01,-2.35, 4.10, -13.61, 1.91, 2.01, 8.36, repro,
2003-10-02,-2.25, 5.14, -8.87, 1.9, 2.05, 8.4, repro,
2003-10-03,-4.12, 3.14, -6.77, 2.01, 2.07, 8.65, repro,
2003-10-04,-0.76, 4.86, 6.27, 1.86, 2.01, 8, repro,
2003-10-05,-0.97, 4.71, 0.33, 1.89, 2.05, 8, repro,
2003-10-06,-1.47, 5.43, 2.74, 1.74, 1.83, 7.28, repro,
2003-10-07,-1.79, 3.01, -6.93, 1.85, 1.95, 8.09, repro,
2003-10-08,-0.58, 3.18, -1.26, 1.8, 1.86, 7.67, repro,
2003-10-09,-1.23, 2.45, 6.43, 1.74, 1.82, 7.48, repro,
2003-10-10,-1.95, 4.35, 5.06, 1.72, 1.78, 7.39, repro,
2003-10-11,-1.85, 4.57, -0.59, 1.84, 2.02, 8.05, repro,
2003-10-12,-3.04, 8.39, 9.48, 2.05, 2.22, 9.26, repro,
2003-10-13,-1.92, 4.80, 15.59, 1.84, 1.94, 8.11, repro,
2003-10-14,0.71, 5.46, 9.93, 2.21, 2.41, 10.16, repro,
2003-10-15,-1.18, 5.72, -2.84, 2.01, 2.11, 8.67, repro,
2003-10-16,-2.04, 4.44, -3.29, 1.57, 1.65, 6.65, repro,
2003-10-17,-2.73, 4.18, -13.72, 1.77, 1.88, 7.85, repro,
2003-10-18,-1.81, 4.06, -4.79, 1.64, 1.74, 7.07, repro,
2003-10-19,-2.48, 4.23, -6.19, 1.55, 1.66, 6.64, repro,
2003-10-20,-4.44, 5.72, -2.31, 1.68, 1.77, 7.44, repro,
2003-10-21,-1.54, 4.71, -3.65, 1.57, 1.65, 6.71, repro,
2003-10-22,-2.31, 5.64, 3.94, 1.73, 1.88, 7.43, repro,
2003-10-23,-2.75, 5.24, -6.19, 1.62, 1.83, 6.9, repro,
2003-10-24,-1.65, 4.76, -6.76, 1.62, 1.75, 6.8, repro,
2003-10-25,-2.79, 5.39, -9.20, 1.8, 1.96, 7.86, repro,
2003-10-26,-3.14, 4.89, -2.48, 1.89, 2.08, 8.09, repro,
2003-10-27,-2.43, 4.83, -2.31, 1.69, 1.81, 7.46, repro,
2003-10-28,-1.36, 2.88, -11.84, 1.94, 2.01, 8.54, repro,
2003-10-29,-2.41, 2.05, 10.23, 1.97, 2.12, 8.69, repro,
2003-10-30,-2.76, 4.60, -8.72, 1.91, 2.08, 8.21, repro,
2003-10-31,-2.37, 5.96, -3.56, 1.78, 2.27, 7.47, repro,
2003-11-01,-2.60, 3.60, -12.52, 1.61, 1.73, 6.85, repro,
2003-11-02,-3.22, 4.30, -9.63, 1.91, 2.11, 8.23, repro,
2003-11-03,-4.18, 6.23, -5.39, 2.19, 2.35, 9.72, repro,
2003-11-04,-1.54, 3.56, 4.43, 3.35, 3.62, 12.98, repro,
2003-11-05,-1.52, 3.40, -21.13, 1.98, 2.12, 8.59, repro,
2003-11-06,-3.83, 6.03, -6.07, 1.99, 2.09, 8.78, repro,
2003-11-07,-4.13, 1.70, -10.93, 1.68, 1.8, 7.25, repro,
2003-11-08,-1.88, 4.61, -13.55, 1.7, 1.88, 7.18, repro,
2003-11-09,-3.07, 5.40, -16.56, 1.6, 1.74, 6.79, repro,
2003-11-10,-3.20, 6.15, -12.95, 1.68, 1.8, 7.25, repro,
2003-11-11,-2.90, 5.85, -2.90, 1.59, 1.71, 6.78, repro,
2003-11-12,-2.17, 4.72, -12.46, 1.57, 1.71, 6.74, repro,
2003-11-13,-2.37, 5.23, -10.74, 1.62, 1.79, 6.88, repro,
2003-11-14,-3.20, 4.99, -12.82, 1.85, 2.02, 8.18, repro,
2003-11-15,-3.98, 4.17, -13.47, 1.56, 1.66, 6.62, repro,
2003-11-16,-2.98, 3.65, -7.62, 1.62, 1.73, 6.87, repro,
2003-11-17,-2.59, 3.85, -10.53, 1.65, 1.77, 7.06, repro,
2003-11-18,-1.83, 2.07, -8.18, 1.56, 1.73, 6.73, repro,
2003-11-19,-3.28, 2.70, -3.28, 2.01, 2.16, 9.09, repro,
2003-11-20,-5.66, 5.81, -7.64, 1.63, 1.77, 6.98, repro,
2003-11-21,-3.89, 5.38, -11.65, 1.52, 1.64, 6.58, repro,
2003-11-22,-3.16, 6.09, -10.10, 1.55, 1.65, 6.58, repro,
2003-11-23,-4.63, 3.58, -16.13, 1.54, 1.65, 6.57, repro,
2003-11-24,-1.65, 2.95, -4.76, 1.68, 1.82, 7.41, repro,
2003-11-25,-4.00, 4.54, -12.87, 1.75, 1.89, 7.63, repro,
2003-11-26,-1.22, 3.79, -8.32, 1.7, 1.9, 7.26, repro,
2003-11-27,-2.69, 3.34, -13.95, 1.64, 1.79, 7.13, repro,
2003-11-28,-1.12, 4.49, -7.38, 1.69, 1.83, 7.32, repro,
2003-11-29,-4.64, 4.44, -9.84, 1.61, 1.82, 6.8, repro,
2003-11-30,-5.10, 4.36, -14.41, 1.51, 1.6, 6.2, repro,
2003-12-01,-5.39, 3.47, -19.28, 1.45, 1.57, 6.23, repro,
2003-12-02,-3.26, 4.85, -13.18, 1.7, 2, 7.4, repro,
2003-12-03,-3.59, 3.43, -23.38, 1.61, 1.78, 6.81, repro,
2003-12-04,-3.29, 1.81, -16.47, 1.62, 1.69, 6.93, repro,
2003-12-05,-3.51, 3.15, -17.95, 1.88, 1.96, 8.17, repro,
2003-12-06,-4.39, 4.73, -16.10, 1.59, 1.71, 6.88, repro,
2003-12-07,-3.60, 5.02, -11.88, 1.15, 1.21, 4.72, repro,
2003-12-08,-4.38, 4.36, -14.56, 1.6, 1.76, 6.61, repro,
2003-12-09,-5.21, 4.88, -16.32, 1.74, 1.92, 7.3, repro,
2003-12-10,-0.61, 2.91, 1.38, 2.22, 2.34, 9.85, repro,
2003-12-11,-6.28, 5.72, -8.02, 1.65, 1.7, 6.86, repro,
2003-12-12,-4.24, 7.17, -13.47, 1.66, 1.83, 6.99, repro,
2003-12-13,-5.64, 4.19, -17.73, 1.71, 1.85, 7.05, repro,
2003-12-14,-0.24, 3.65, -3.53, 1.92, 2.09, 8.5, repro,
2003-12-15,-3.23, 4.62, -8.88, 1.61, 1.79, 6.67, repro,
2003-12-16,-3.81, 4.10, -11.58, 1.79, 1.97, 7.63, repro,
2003-12-17,-6.14, 6.83, -13.53, 1.95, 2.09, 8.54, repro,
2003-12-18,-4.52, 6.73, -16.57, 1.52, 1.64, 6.46, repro,
2003-12-19,-3.76, 6.20, -20.47, 1.62, 1.73, 6.96, repro,
2003-12-20,-4.18, 6.11, -16.69, 1.69, 1.86, 7.14, repro,
2003-12-21,-4.03, 5.43, -15.27, 1.7, 1.81, 7.02, repro,
2003-12-22,-2.78, 5.91, -12.49, 1.6, 1.84, 6.62, repro,
2003-12-23,-2.19, 4.79, -9.90, 1.56, 1.71, 6.69, repro,
2003-12-24,-3.58, 5.84, -6.73, 2, 2.14, 8.92, repro,
2003-12-25,-3.18, 6.19, -14.24, 1.56, 1.76, 6.67, repro,
2003-12-26,-3.17, 5.76, -13.92, 1.54, 1.72, 6.7, repro,
2003-12-27,-2.32, 4.84, -11.78, 1.64, 1.85, 6.88, repro,
2003-12-28,-1.79, 5.03, -8.78, 1.64, 1.85, 6.92, repro,
2003-12-29,-2.59, 4.20, -17.06, 1.66, 1.82, 7.24, repro,
2003-12-30,-1.45, 4.27, -17.19, 1.63, 1.86, 7.02, repro,
2003-12-31,-1.13, 4.49, -9.08, 1.72, 1.94, 7.56, repro,
2004-01-01,-1.57, 5.30, -13.60, 1.61, 1.79, 6.86, repro,
2004-01-02,-1.16, 2.65, -8.52, 1.62, 1.77, 6.91, repro,
2004-01-03,-0.71, 4.69, -7.98, 1.58, 1.75, 6.74, repro,
2004-01-04,-0.85, 5.54, -10.59, 1.27, 1.39, 5.35, repro,
2004-01-05,-0.57, 4.76, -10.34, 1.61, 1.83, 6.84, repro,
2004-01-06,0.16, 3.37, -13.05, 1.74, 1.97, 7.34, repro,
2004-01-07,-0.89, 4.81, -10.45, 1.74, 1.93, 7.53, repro,
2004-01-08,-1.25, 4.95, -12.44, 1.47, 1.58, 6.26, repro,
2004-01-09,-2.51, 3.61, -9.42, 1.54, 1.67, 6.72, repro,
2004-01-10,-5.52, 6.23, -16.85, 1.59, 1.74, 6.83, repro,
2004-01-11,-4.66, 7.17, -12.01, 1.43, 1.53, 5.94, repro,
2004-01-12,-3.74, 5.02, -15.44, 1.46, 1.58, 6.18, repro,
2004-01-13,-3.32, 5.12, -13.21, 1.46, 1.58, 6.18, repro,
2004-01-14,-2.15, 5.76, -7.51, 1.53, 1.69, 6.62, repro,
2004-01-15,-2.89, 3.71, -10.39, 1.58, 1.74, 6.85, repro,
2004-01-16,-2.27, 4.65, -9.51, 1.64, 1.95, 7.01, repro,
2004-01-17,-2.93, 4.16, -12.11, 1.55, 1.73, 6.71, repro,
2004-01-18,-3.41, 5.16, -1.65, 1.89, 2.13, 8.37, repro,
2004-01-19,-4.29, 5.44, -6.13, 1.84, 2, 7.85, repro,
2004-01-20,-2.59, 6.67, -13.40, 1.5, 1.68, 6.33, repro,
2004-01-21,-4.71, 6.71, -13.09, 1.55, 1.78, 6.61, repro,
2004-01-22,-3.03, 5.65, -11.21, 1.44, 1.63, 6.16, repro,
2004-01-23,-2.81, 6.18, -12.76, 1.46, 1.67, 6.21, repro,
2004-01-24,-3.22, 4.87, -8.37, 1.46, 1.68, 6.17, repro,
2004-01-25,-2.08, 3.10, -4.20, 1.58, 1.8, 6.79, repro,
2004-01-26,-2.05, 3.00, -7.28, 1.68, 1.93, 7.32, repro,
2004-01-27,-2.87, 8.60, -16.20, 2.14, 2.3, 9.63, repro,
2004-01-28,-3.27, 6.08, -6.42, 1.6, 1.98, 7.04, repro,
2004-01-29,-3.02, 5.49, -12.81, 1.62, 1.91, 7.06, repro,
